sector_code;sector_label;activity_code;activity_label;product_code;product_label
C;ACTIVITES DE FABRICATION ;C270200;Fabrication d'appareils domestiques ;C27020007;Opérations sous-traitées intervenant dans la fabrication des équipements électriques 
C;ACTIVITES DE FABRICATION ;C280100;Fabrication de machines d'usage général;C28010001;Moteurs thermiques et turbines  
C;ACTIVITES DE FABRICATION ;C280100;Fabrication de machines d'usage général;C28010002;Pompes, compresseurs et systèmes hydrauliques  
C;ACTIVITES DE FABRICATION ;C280100;Fabrication de machines d'usage général;C28010003;Articles de robinetterie
C;ACTIVITES DE FABRICATION ;C280100;Fabrication de machines d'usage général;C28010004;Engrenages et organes mécaniques de transmission
C;ACTIVITES DE FABRICATION ;C280100;Fabrication de machines d'usage général;C28010005;Fours et brûleurs  
C;ACTIVITES DE FABRICATION ;C280100;Fabrication de machines d'usage général;C28010006;Matériel de levage et de manutention  
C;ACTIVITES DE FABRICATION ;C280100;Fabrication de machines d'usage général;C28010007;Équipements aérauliques et frigorifiques industriels 
C;ACTIVITES DE FABRICATION ;C280100;Fabrication de machines d'usage général;C28010008;Machines et équipements de bureau  
C;ACTIVITES DE FABRICATION ;C280100;Fabrication de machines d'usage général;C28010009;Autres machines d’usage général  
C;ACTIVITES DE FABRICATION ;C280200;Fabrication de machines d'usage spécifique ;C28020001;Tracteurs, machines agricoles et forestières
C;ACTIVITES DE FABRICATION ;C280200;Fabrication de machines d'usage spécifique ;C28020002;Machines de formage des métaux et machines-outils 
C;ACTIVITES DE FABRICATION ;C280200;Fabrication de machines d'usage spécifique ;C28020003;Machines pour l’extraction ou la construction 
C;ACTIVITES DE FABRICATION ;C280200;Fabrication de machines d'usage spécifique ;C28020004;Machines pour la métallurgie 
C;ACTIVITES DE FABRICATION ;C280200;Fabrication de machines d'usage spécifique ;C28020005;Machines pour l'industrie agro-alimentaire 
C;ACTIVITES DE FABRICATION ;C280200;Fabrication de machines d'usage spécifique ;C28020006;Machines pour les industries textiles 
C;ACTIVITES DE FABRICATION ;C280200;Fabrication de machines d'usage spécifique ;C28020007;Machines pour les industries du papier et du carton 
C;ACTIVITES DE FABRICATION ;C280200;Fabrication de machines d'usage spécifique ;C28020008;Machines pour le travail du caoutchouc ou des plastiques  
C;ACTIVITES DE FABRICATION ;C280200;Fabrication de machines d'usage spécifique ;C28020009;Autres machines spécialisées diverses  
C;ACTIVITES DE FABRICATION ;C280201;Fabrication de machines d'usage spécifique ;C28020100;Opérations sous-traitées intervenant dans la fabrication des machines et équipements n.c.a.  
C;ACTIVITES DE FABRICATION ;C290000;Construction de véhicules automobiles ;C29000001;Moteurs pour véhicules automobiles
C;ACTIVITES DE FABRICATION ;C290000;Construction de véhicules automobiles ;C29000002;Voitures particulières 
C;ACTIVITES DE FABRICATION ;C290000;Construction de véhicules automobiles ;C29000003;Autobus et autocars  
C;ACTIVITES DE FABRICATION ;C290000;Construction de véhicules automobiles ;C29000004;Véhicules utilitaires spécifiques 
C;ACTIVITES DE FABRICATION ;C290000;Construction de véhicules automobiles ;C29000005;Carrosseries et remorques 
C;ACTIVITES DE FABRICATION ;C290000;Construction de véhicules automobiles ;C29000006;Pièces et accessoires automobiles n.c.a. 
C;ACTIVITES DE FABRICATION ;C290000;Construction de véhicules automobiles ;C29000007;Opérations sous-traitées intervenant dans la fabrication de véhicules automobiles  
C;ACTIVITES DE FABRICATION ;C300101;Construction navale  ;C30010101;Pirogues et pinasses  
C;ACTIVITES DE FABRICATION ;C300101;Construction navale  ;C30010102;Autres navires marchands  
C;ACTIVITES DE FABRICATION ;C300101;Construction navale  ;C30010103;Bateaux de pêche  
C;ACTIVITES DE FABRICATION ;C300101;Construction navale  ;C30010104;Bateaux de plaisance 
C;ACTIVITES DE FABRICATION ;C300101;Construction navale  ;C30010105;Autres produits de la construction navale 
C;ACTIVITES DE FABRICATION ;C300102;Construction aéronautique ;C30010200;Produits de la construction aéronautique  
C;ACTIVITES DE FABRICATION ;C300103;Construction de matériels ferroviaires roulants ;C30010300;Matériels ferroviaires roulants  
C;ACTIVITES DE FABRICATION ;C300104;Construction de véhicules militaires de combat ;C30010400;Véhicules militaires de combat  
C;ACTIVITES DE FABRICATION ;C300200;Fabrication d'autres équipements de transport ;C30020001;Motocycles, moteurs et équipements pour motocycles 
C;ACTIVITES DE FABRICATION ;C300200;Fabrication d'autres équipements de transport ;C30020002;Cycles et équipements pour cycles  
C;ACTIVITES DE FABRICATION ;C300200;Fabrication d'autres équipements de transport ;C30020003;Véhicules pour invalides  
C;ACTIVITES DE FABRICATION ;C300200;Fabrication d'autres équipements de transport ;C30020004;Matériels de transport n.c.a. 
C;ACTIVITES DE FABRICATION ;C300200;Fabrication d'autres équipements de transport ;C30020005;Opérations sous-traitées intervenant dans la fabrication d'autres matériels de transport 
C;ACTIVITES DE FABRICATION ;C310001;Fabrication de matelas et sommiers ;C31000100;Matelas et sommiers  
C;ACTIVITES DE FABRICATION ;C310002;Fabrication de meubles divers ;C31000201;Sièges et leurs parties 
C;ACTIVITES DE FABRICATION ;C310002;Fabrication de meubles divers ;C31000202;Autres meubles   
